URL;Name;Rating;Address
https://www.google.com/maps/place/Lapangan+bulu+tangkis/data=!4m7!3m6!1s0x2e7bdde0bdaa2341:0x8710de16530a0ea0!8m2!3d-8.1915032!4d110.9980069!16s%2Fg%2F11hdpzvsvy!19sChIJQSOqveDdey4RoA4KUxbeEIc?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/Lapangan+Bulutangkis+Bumi+Jaya/data=!4m7!3m6!1s0x2e7973e98fb3dab3:0xa91a3a64a7cca650!8m2!3d-8.0324906!4d111.4183094!16s%2Fg%2F11q8srch3m!19sChIJs9qzj-lzeS4RUKbMp2Q6Gqk?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/GOR+BULUTANGKIS/data=!4m7!3m6!1s0x2e790b4c2a23c765:0x750279a295b7b883!8m2!3d-7.9474468!4d111.4905014!16s%2Fg%2F11nwb9prrj!19sChIJZccjKkwLeS4Rg7i3laJ5AnU?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/GOR+Djarum+Magelang/data=!4m7!3m6!1s0x2e7a8f49a2b25897:0x33485e3020323ba1!8m2!3d-7.498241!4d110.228207!16s%2Fg%2F11bw1ppg6r!19sChIJl1iyokmPei4RoTsyIDBeSDM?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/GOR+Badminton+Mega+Kuningan/data=!4m7!3m6!1s0x2e69f3f98411b303:0x907a3bf64017965f!8m2!3d-6.2219791!4d106.827072!16s%2Fg%2F11cs36d5mz!19sChIJA7MRhPnzaS4RX5YXQPY7epA?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/Hall+Badminton+%2F+Bulu+Tangkis+Santa+E-Sport/data=!4m7!3m6!1s0x2e69f3f12f8fb7c3:0x712284a66bf90d95!8m2!3d-6.2206807!4d106.8247817!16s%2Fg%2F11fn2q6dz0!19sChIJw7ePL_HzaS4RlQ35a6aEInE?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/Diaz+Badminton+Hall/data=!4m7!3m6!1s0x2e69f6910123ea9d:0x258d5c895a5c266d!8m2!3d-6.1900129!4d106.8026939!16s%2Fg%2F11b6cls0p1!19sChIJneojAZH2aS4RbSZcWolcjSU?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/Cililitan+Badminton+Hall/data=!4m7!3m6!1s0x2e69f2f839b8d7b7:0xc6a181aec9a4fcf5!8m2!3d-6.265924!4d106.867149!16s%2Fg%2F11bvvzz9rn!19sChIJt9e4OfjyaS4R9fykya6BocY?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/Supreme+Arena+Badminton/data=!4m7!3m6!1s0x2e69f30767f99d7d:0x83a90c9b02651080!8m2!3d-6.2202958!4d106.8229143!16s%2Fg%2F11h_b9414j!19sChIJfZ35ZwfzaS4RgBBlApsMqYM?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/Gor+Bulutangkis+Dian+Jaya/data=!4m7!3m6!1s0x2e698c3820a1ad65:0x1a4c79c22ca526d7!8m2!3d-6.2430058!4d106.9865521!16s%2Fg%2F1hm40brh0!19sChIJZa2hIDiMaS4R1yalLMJ5TBo?authuser=0&hl=id&rclk=1;;;
